id,name,nameHindi,type,typeHindi,category,categoryHindi,address,latitude,longitude,rating,reviews,services,phone,distance_description,emergency,open24x7,image_url
1,Nashik Civil Hospital,नासिक सिविल अस्पताल,Hospital,अस्पताल,Emergency,आपातकालीन,Civil Hospital Road Nashik,19.9975,73.7898,4.2,456,"Emergency Care,General Medicine,Surgery,Pediatrics,Gynecology",+91-253-2312345,2.1 km from Kumbh Mela Ground,true,true,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80
2,Apollo Hospital Nashik,अपोलो अस्पताल नासिक,Hospital,अस्पताल,Multi-Specialty,बहु-विशेषज्ञता,Ambad Industrial Area Nashik,19.9800,73.8200,4.6,789,"Cardiology,Neurology,Oncology,Orthopedics,Emergency Care",+91-253-2345678,4.2 km from Kumbh Mela Ground,true,true,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?ixlib=rb-4.0.3&auto=format&fit=crop&w=2053&q=80
3,Wockhardt Hospital,वॉकहार्ट अस्पताल,Hospital,अस्पताल,Specialty,विशेषज्ञता,Nashik Road Near Railway Station,19.9500,73.8000,4.4,567,"Cardiology,Neurology,Gastroenterology,Urology,Emergency Care",+91-253-2456789,3.5 km from Kumbh Mela Ground,true,false,https://images.unsplash.com/photo-1582750433449-648ed127bb54?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80
4,Dr. Patil Medical Clinic,डॉ. पाटिल मेडिकल क्लिनिक,Clinic,क्लिनिक,General Practice,सामान्य अभ्यास,Panchavati Area Nashik,19.9900,73.7800,4.3,234,"General Medicine,Family Practice,Preventive Care,Health Checkup",+91-253-2567890,1.8 km from Kumbh Mela Ground,false,false,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80
5,Nashik Eye Care Center,नासिक आई केयर सेंटर,Clinic,क्लिनिक,Specialty,विशेषज्ञता,Dwarka Circle Nashik,19.9700,73.7900,4.5,345,"Eye Care,Cataract Surgery,LASIK,Glaucoma Treatment",+91-253-2678901,2.3 km from Kumbh Mela Ground,false,false,https://images.unsplash.com/photo-1582750433449-648ed127bb54?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80
6,Kumbh Wellness Center,कुंभ वेलनेस सेंटर,Wellness,वेलनेस,Holistic Health,समग्र स्वास्थ्य,Near Trimbakeshwar Temple Nashik,19.9975,73.7898,4.7,456,"Yoga,Meditation,Ayurveda,Massage Therapy,Stress Management",+91-253-2789012,2.0 km from Kumbh Mela Ground,false,false,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80
7,Nashik Physiotherapy Center,नासिक फिजियोथेरेपी सेंटर,Wellness,वेलनेस,Rehabilitation,पुनर्वास,Godavari Ghat Road Nashik,19.9950,73.7850,4.4,289,"Physiotherapy,Sports Medicine,Pain Management,Rehabilitation",+91-253-2890123,1.5 km from Kumbh Mela Ground,false,false,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80
8,Ayurvedic Health Center,आयुर्वेदिक स्वास्थ्य केंद्र,Wellness,वेलनेस,Traditional Medicine,पारंपरिक चिकित्सा,Ramkund Ghat Nashik,19.9980,73.7880,4.6,378,"Ayurveda,Panchakarma,Herbal Medicine,Detoxification",+91-253-2901234,0.9 km from Kumbh Mela Ground,false,false,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80
9,City Hospital Nashik,सिटी अस्पताल नासिक,Hospital,अस्पताल,Multi-Specialty,बहु-विशेषज्ञता,Gangapur Road Nashik,19.9622,73.8133,4.3,432,"General Medicine,Surgery,Orthopedics,Emergency Care",+91-253-2902345,3.0 km from City Center,true,true,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80
10,Dr. Kulkarni Dental Clinic,डॉ. कुलकर्णी डेंटल क्लिनिक,Clinic,क्लिनिक,Specialty,विशेषज्ञता,College Road Nashik,19.9725,73.7889,4.4,198,"Dental Care,Root Canal,Teeth Whitening,Orthodontics",+91-253-2903456,1.2 km from College Road,false,false,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80
11,Sanjivani Hospital,संजीवनी अस्पताल,Hospital,अस्पताल,General,सामान्य,Ambad Link Road Nashik,19.9589,73.8011,4.1,321,"General Medicine,Surgery,Pediatrics,Emergency Care",+91-253-2904567,3.5 km from Ambad,true,false,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80
12,Kumbh Medical Camp,कुंभ मेडिकल कैंप,Clinic,क्लिनिक,Emergency,आपातकालीन,Kumbh Mela Ground Nashik,19.9975,73.7898,4.5,567,"Emergency Care,First Aid,Basic Medicine,Health Checkup",+91-253-2905678,0.1 km from Kumbh Mela Ground,true,true,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?ixlib=rb-4.0.3&auto=format&fit=crop&w=2070&q=80

